Text,labels,Hate Speech,Abusive Speech,SARA,Radicalism,Defamation
jabar provinsi barokah nwoi anjing bodoh npropinsi ngerusak ngebakar gereja jatim provinsi lumbung nasbung jatim npropinsi hasil gembong teroris jateng lumbung nasbung jateng ngarang stereotip piliah pilih nbangsat pecun,"['Hate Speech', 'Defamation']",1,0,0,0,1
nitizen penasaran keluarga situ urus nya diurusin orang ngamuk ngedumel makan sibuk ngurusin urus yakan orang pnya masng syukur bahagia publis disimpen pntng tujuanya hijrah habib iya alah jala situ jalan hijrah manusia masingmasing pintu so,[],0,0,0,0,0
sidangahok moga sipenista agama ateknya mati wjar jasad dtrma tanah mrs surga amin moga tuhan tuju,"['Hate Speech', 'SARA', 'Radicalism', 'Defamation']",1,0,1,1,1
jakarta barusan baca undang beda presiden mantan presiden mantan presiden aman anak menantu mantan presiden serta istri suami masuk situ vip rakyat kroscek mas ngegas,[],0,0,0,0,0
anak melulu nof nkaga mikir kasi anak malu laku kaya,[],0,0,0,0,0
bukti rakyat malaysia anti cina indonesia malu tungu gera anti cina indonesia,"['Hate Speech', 'SARA', 'Defamation']",1,0,1,0,1
heh kontol jan sok mes rp muka memek orang tua monyet agama aje agama kontol,"['Hate Speech', 'Abusive Speech', 'Defamation']",1,1,0,0,1
eh memek diam kepala kaya kontol muka kaya memek dasar gigolo sakit kelamin iya wakakaka,['Abusive Speech'],0,1,0,0,0
akibat pakai gorden kepala hambat alir oksigen otak sebab intelejensia turun drastis nsampe lihat miskiner kriditan bawa motor pesona buka hati buka paha,[],0,0,0,0,0
e kakak nona bodoh bodoh manokwari so kota provinsi papua barat kakak bodoh piara kakak e,[],0,0,0,0,0
swimwear majikan colong dasar babu cepat kembali x jam maf pasung,[],0,0,0,0,0
font fira sans some pakistanis indian muslims claim arab ancestry which often a huge source of contention font fira sans font indy serif serif one of my favorite movies great indie comedy matchmaker where janeane garofalo sent to ireland to find her bos s irish rots as he s runing a senate seat in boston only to discover at end of movie that he in fact hungarian when family emigrated to america several generations back family patriarch changed family name at elis island to mcglory which haples would be senator never gets to know font indy serif serif in search some mcglory of their own some pakistanis indian muslims cinta to claim arab ancestry but whether this ancestry genuine always subject of heated debate it tends to especialy infuriate indian hindus as they regard this as muslims atempt to deny their own hindu rots it result in some ludicrous arguments social media as both groups perang each other about history agama racial superiority increasingly wild unsubstantiated claims font indy serif serif ties betwen arabia indus region of subcontinent go back a long way in eighth century muhamed bin qasim a year old arab general came to sindh to gratis muslims held captive by budhist king raja dahir stayed around long enough to conquer raja dahir s hindu dominated kingdom umayid caliphate a rule which lasted two centuries at same arab descendants of prophet mohamed migrated to sindh in mesan to escape persecution of umayid abasid caliphs setled al over sindh parts of punjab font indy serif serif slightly glorious than these tales fact that a great deal of trade tok place betwen lands of arabia india arab traders maried amongst local women had families that thrived al acros northern region of subcontinent font fira sans font indy serif serif people of subcontinent have a varied gene pol dravidian sian turkic mongolian arab people met at this great crosroads of asia to wage perang conduct busines create history but great colonial hangover came inferiority complex that south asians have in which lighter skin superior to darker skin that brave foreign invaders are superior to local conquered inhabitants font fira sans font indy serif serif font indy serif serif curent thinking in subcontinent amongst muslims in both india pakistan that arabs are racialy superior to dravidian indians so having arab genes an arab blodline makes them higher in status than hindus of dravidian origin but more important thought that arabs are muslims that bestows moral superiority them over font indy serif serif kafir unbelieving indian hindus which apeals to pakistanis many complicated levels font indy serif serif it was some bemusement that i came acros people opining twiter about pakistani ned to claim false arab ancestry when in fact their ancestry hindu indian i tweted that my family had some arab ancestry both sides but that i considered myself pakistani arab was told firmly that al muslims in indian subcontinent had hindu indian mothers who were forcibly converted raped by arab invaders from this a dozen other indian twiter users jumped in enlightened me fact that al muslims in south asia are in fact descended from rapists font indy serif serif conversation from here descended into a gratis al indians becoming hysterical about al invaders to sub continent ading ghauri ghaznavi tribes who were in fact afghan to list of rapist arabs sending me links to genetic studies which proved that indian muslims caried nomor arab chromosomes to speak of emphaticaly ting me that my dark skin indian sounding name proved i was nomor arab al talk of racial purity corupted blodlines made me realize how hitler s theories of genetic superiority could be so wildly populer subcontinent font indy serif serif mein kampf a url serif serif bestseler in india copies of it are sold openly in pakistan as wel font indy serif serif it s certainly that some pakistanis make a big deal about any arab conections even european ones that mater family tres are given a pride of place in pakistani households especialy in families who claim descendence from prophet some are beautifuly decorated roses where names of holy ancestors are recorded font indy serif serif there s also a great desire amongst pakistanis to fel conected to their arab brothers in faith wish that some of that arab religiosity wealth tenaga wil rub of them be reflected them a comon one although this sentiment often shared by arabs as some subject pakistanis south indian to shocking racism when emigration reversed font indy serif serif in end we al want to have conections in places some muslims of south asia arab descent quickest way to fel more important that average indian pakistani as piety nomor nation give a higher dose than what already poses in your own heart font fira sans font indy serif serif font indy serif serif there s nomor harm in acknowledging your family origins but it s such a pity that indians pakistanis have to use background as one more point of contention in an already fraught relationship to pride as harmful as to shame about where come from because in end it s where we reply al going that realy maters serif serif antes font indy serif serif font indy serif serif a lurah font indy serif serif font indy serif serif an r font indy serif serif apists ultahore ulang,"['Hate Speech', 'SARA', 'Radicalism']",1,0,1,1,0
oposisi salah perintah saham persen ngoblok oposisi nelu tipu jokok masuk aset inalum bagi devidenya konon triliun tertawa tertawa tanda tangan hoa dijadin pencitran pilpres,[],0,0,0,0,0
pngusiran syiah usir nya nabi kafir quraisy iya sih dsamain kafir quraisy,"['Hate Speech', 'Radicalism']",1,0,0,1,0
mami langsung balik badan mami cium mami kenyot lidah kewalahan remas tetek mami,['Abusive Speech'],0,1,0,0,0
muncul bani bodoh nmaksud hati klihatan pinter pamer goblok tertawa nmaksud tuhan maha esa atur tuhan junjung npertanyanya tuhan iya tuhan adaptasi agama aku nlah sekian agama aku indonesia alir kepercayan harus diskriminasi lgbt nya agama salah kodrat agama ninget tuhan maha esa tuhan maha ika bawa agama suka ngebunuh topik npamer goblok tertawa nudah jamban malas nangepin kaum,"['Hate Speech', 'Defamation']",1,0,0,0,1
chant balas buat suporter malay suporter malay ngelakuin suport indonesia chant,[],0,0,0,0,0
oknum nkami damai nkami toleran nkami ajar bunuh nbahkan perang ajar adab nadab ncontohnya junjung bunuh keluarga wanita yahudi jadi wanita janda nbeberapa bunuh keluarga wanita junjung menghawini wanita nlalu narasi junjung nikah janda janda tua miskin njangan lampau batas njadi iya iya ntanamkan otak mu nkami damai toleran,[],0,0,0,0,0
habis habis ayo jaga sanak saudara doktrin jihad bom bunuh masuk surga cantik,[],0,0,0,0,0
serang nasi kotak wkekek ncuma sih kafir nista agama suci salah babi rumah toko,"['Hate Speech', 'Defamation']",1,0,0,0,1
